trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,4,-11.55115177003121,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-97.38725664838947,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-84.8528245215275,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-70.16986113316175,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-142.59283987562125,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-48.208189947478985,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,14,11.18636055706224,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,12,-15.802343690161532,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-58.072478921764834,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,1,-32.334378074911484,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-4.726634424383633,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,7,12.210641163291061,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,18,10.957408955395161,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-73.42924460805125,"{0: 24, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,1,24.55631930893056,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,8.231349413652794,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,10.236650986768277,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,27.33906189734126,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,12.175618175666875,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,43.559842043260886,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,7,33.94635090958649,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,2,17.719305781126607,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,4,29.42676076447772,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,18.87964051103746,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,16.44912425963025,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,26.244413632779757,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,11,18.615987450268452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,7,32.06778862706716,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,5,25.49396741923644,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,37.11636077033933,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
