trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.998970014456028, 'e': 0.9999993}",20,0,-118.79140064085027,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.9989391302866758, 'e': 0.999998558000535}",25,0,-141.3968147085699,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.9989073205904545, 'e': 0.9999977714817032}",25,5,-101.68206420091404,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",1
4,False,"{'a': 0.9988745576623154, 'e': 0.9999969377724169}",30,0,-54.420525139003665,"{0: 20, 1: 5, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.9988408129697551, 'e': 0.9999960540413324}",25,0,-173.0796668732697,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
6,False,"{'a': 0.9988060571282174, 'e': 0.9999951172872354}",25,0,-232.00773163513924,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 5}",0
7,False,"{'a': 0.9987702598757694, 'e': 0.9999941243288507}",20,0,-107.01056082295489,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.9987333900470338, 'e': 0.9999930717940394}",30,0,-241.14241548358171,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 5}",0
9,False,"{'a': 0.9986954155463537, 'e': 0.999991956108349}",30,0,-106.97924387793736,"{0: 21, 1: 2, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.998656303320169, 'e': 0.9999907734828761}",20,0,-114.03684974283998,"{0: 10, 1: 0, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.9986160193285814, 'e': 0.999989519901402}",20,0,-48.304029599109214,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.9985745285160843, 'e': 0.999988191106755}",30,0,-87.35728594517329,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.9985317947814351, 'e': 0.999986782586357}",25,0,-93.89672240257265,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.9984877809466425, 'e': 0.9999852895569011}",20,0,-196.49968746679485,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
15,False,"{'a': 0.9984424487250473, 'e': 0.9999837069481119}",20,0,-120.28620666776857,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.9983957586884676, 'e': 0.9999820293855298}",35,0,-118.51966151764663,"{0: 22, 1: 4, 2: 8, 3: 0, 4: 1}",0
17,False,"{'a': 0.9983476702333834, 'e': 0.9999802511722655}",35,0,-130.55462086111854,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.9982981415461328, 'e': 0.9999783662696576}",30,0,-164.56888784393703,"{0: 17, 1: 5, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.9982471295670917, 'e': 0.9999763682767725}",20,0,-125.94919087466748,"{0: 12, 1: 0, 2: 4, 3: 3, 4: 1}",0
20,False,"{'a': 0.9981945899538088, 'e': 0.9999742504086727}",25,0,-118.4990331249281,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
21,False,"{'a': 0.998140477043065, 'e': 0.9999720054733842}",25,0,-154.046206495832,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0
22,False,"{'a': 0.9980847438118282, 'e': 0.9999696258474808}",20,0,-77.51891164845523,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
23,False,"{'a': 0.9980273418370719, 'e': 0.999967103450206}",30,0,-164.03312658539488,"{0: 19, 1: 2, 2: 4, 3: 3, 4: 2}",0
24,False,"{'a': 0.997968221254425, 'e': 0.9999644297160414}",20,0,-85.39704035956336,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.9979073307156211, 'e': 0.9999615955656322}",20,0,-29.483321194451847,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.9978446173447131, 'e': 0.9999585913749687}",25,7,-102.98557118226844,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 2}",1
27,False,"{'a': 0.997780026693018, 'e': 0.9999554069427193}",20,14,3.3981664927706463,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.9977135026927579, 'e': 0.999952031455607}",25,0,-86.73608398364854,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
29,False,"{'a': 0.9976449876093596, 'e': 0.9999484534517084}",25,0,-159.03623718553558,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
30,False,"{'a': 0.9975744219923764, 'e': 0.9999446607815539}",20,0,-59.14480289102002,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
31,False,"{'a': 0.9975017446249936, 'e': 0.9999406405668957}",20,0,-138.20215960560975,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.9974268924720786, 'e': 0.9999363791570048}",30,0,-120.76711624254816,"{0: 16, 1: 5, 2: 7, 3: 2, 4: 0}",0
33,False,"{'a': 0.9973498006267361, 'e': 0.9999318620823483}",25,0,-83.22559609423388,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
34,False,"{'a': 0.9972704022553259, 'e': 0.9999270740054909}",30,0,-287.982250227846,"{0: 14, 1: 2, 2: 7, 3: 3, 4: 4}",0
35,False,"{'a': 0.997188628540904, 'e': 0.999921998669054}",30,12,-60.113500061138815,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 0}",1
36,False,"{'a': 0.9971044086250398, 'e': 0.9999166188405566}",30,0,-88.70171912712597,"{0: 19, 1: 1, 2: 10, 3: 0, 4: 0}",0
37,False,"{'a': 0.9970176695479704, 'e': 0.9999109162539513}",20,0,-93.1732943303233,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
38,False,"{'a': 0.996928336187042, 'e': 0.9999048715476576}",25,10,-8.43448257311061,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
39,False,"{'a': 0.9968363311933957, 'e': 0.9998984641988824}",25,0,-126.62929200492913,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
40,False,"{'a': 0.9967415749268479, 'e': 0.9998916724540078}",25,0,-140.27674533734984,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
41,False,"{'a': 0.9966439853889201, 'e': 0.9998844732548082}",20,0,-191.16380229482448,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
42,False,"{'a': 0.9965434781539645, 'e': 0.9998768421602491}",20,0,-95.76918794122997,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.9964399662983379, 'e': 0.9998687532636032}",20,0,-115.97455916228165,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
44,False,"{'a': 0.9963333603275715, 'e': 0.9998601791046041}",25,6,-70.30360469484711,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 0}",1
45,False,"{'a': 0.9962235681014832, 'e': 0.9998510905763406}",35,0,-216.469355029383,"{0: 23, 1: 2, 2: 5, 3: 1, 4: 4}",0
46,False,"{'a': 0.9961104947571785, 'e': 0.999841456826578}",20,10,-0.9213509102627182,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.9959940426298849, 'e': 0.9998312451531737}",20,0,-106.76169306373518,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
48,False,"{'a': 0.9958741111715643, 'e': 0.9998204208932342}",20,0,-133.03113866643517,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
49,False,"{'a': 0.9957505968672442, 'e': 0.9998089473056402}",20,0,-195.5785022154297,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
50,False,"{'a': 0.9956233931490105, 'e': 0.9997967854465444}",20,0,-99.70373067373409,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
51,False,"{'a': 0.9954923903076013, 'e': 0.9997838940374227}",25,0,-264.67624783053606,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 5}",0
52,False,"{'a': 0.995357475401541, 'e': 0.9997702293252352}",30,0,-135.88546013812174,"{0: 18, 1: 2, 2: 8, 3: 1, 4: 1}",0
53,False,"{'a': 0.9952185321637522, 'e': 0.9997557449342259}",20,0,-101.39401041985752,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.9950754409055826, 'e': 0.9997403917088657}",25,0,-77.54983818588278,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
55,False,"{'a': 0.9949280784181814, 'e': 0.9997241175474074}",25,0,-76.37939876198894,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
