trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.55286577737874,"{0: 8, 1: 3, 2: 9, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-178.37848001395767,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,16,7.920881626321857,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-121.13912567056278,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-150.5313660095889,"{0: 21, 1: 5, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,14,-4.503298261667041,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.816326072633785,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-255.25872408500317,"{0: 13, 1: 5, 2: 6, 3: 3, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-202.22002751834177,"{0: 20, 1: 2, 2: 2, 3: 2, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-126.1506468679884,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.2297388486246,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.48361347597562,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
